Apr	Aug	Dec	Feb	Jan	Jul	Jun	Mar	May	Nov	Oct	Sept
Sordariomycetes	53.0122580645161	22.0101428571429	53.1641025641026	66.964	33.7419444444444	16.5572	14.5865714285714	66.6166666666667	26.401935483871	31.3463333333333	18.0853	15.4333235294118
Dothideomycetes	16.208064516129	45.0248571428571	15.4784615384615	9.845925	22.5569444444444	42.0216	41.802	12.5737380952381	28.1938709677419	24.2653333333333	17.346	35.2282352941176
Eurotiomycetes	21.1083870967742	18.0542857142857	8.45212820512821	7.32845	19.5108333333333	17.114	14.0902	5.54169047619048	19.5673225806452	13.678	15.732	24.9373529411765
Saccharomycetes	0.449770967741935	0.4566	9.24359743589743	0.9844125	3.83172222222222	1.1636	21.9508285714286	4.92190714285714	11.9354903225806	7.97214	17.5029	7.71202058823529
(Unassigned)	4.31912903225806	3.65297142857143	5.29684615384615	2.92855	7.34277777777778	5.99412	4.30071428571429	4.28057142857143	6.71496774193548	9.12833333333333	3.5118	9.10602941176471
Agaricomycetes	1.55977419354839	3.15041714285714	1.67138461538462	1.44861	3.52719444444444	10.41288	1.63953428571429	1.64620714285714	2.65296774193548	5.52443333333333	24.183	2.75228235294118
unidentified	1.47674193548387	2.43917142857143	4.40738461538462	2.7630225	6.03766666666667	5.05432	0.852831428571429	1.6537	1.36258387096774	5.58243333333333	1.87	2.80140294117647
Leotiomycetes	0.490542903225806	1.58184514285714	0.668002564102564	4.1580025	1.35130555555556	0.074596	0.150037714285714	0.702838095238095	0.359354838709677	0.45958	0.266243	0.242394705882353
Pezizomycetes	0.50808064516129	0.192304571428571	0.336358717948718	2.4799925	0.721669444444444	0.533016	0.193156571428571	1.67646666666667	2.29628483870968	0.631082666666667	0.535878	0.200191764705882
Tremellomycetes	0.741001935483871	2.07250285714286	0.803751282051282	0.82559825	0.745666666666667	0.447284	0.206996857142857	0.196949047619048	0.300636451612903	0.451212	0.371538	0.562435294117647
Cystobasidiomycetes	0.0690945161290323	0.720847714285714	0.173177435897436	0.128561	0.238603333333333	0.4492424	0.192698	0.0497552380952381	0.14208	0.231696333333333	0.09923	0.578551470588235
Wallemiomycetes	0.0276612903225806	0.369915428571429	0.199045384615385	0.0918275	0.310104166666667	0.0859032	0.0218057142857143	0.0841785714285714	0.0577832258064516	0.435297333333333	0.248114	0.102284117647059
Low abundance	0.0302893548387097	0.270098857142857	0.0980569230769231	0.052909	0.0877811111111111	0.1068764	0.0100534285714286	0.0512185714285714	0.0152970967741935	0.292071	0.274038	0.338953823529412
