Apr	Aug	Dec	Feb	Jan	Jul	Jun	Mar	May	Nov	Oct	Sept
Nectriaceae	33.2402368421053	7.70666666666667	1.85865853658537	51.5253571428571	2.21141025641026	2.17676923076923	0.461710810810811	46.8028636363636	2.61334285714286	1.16252941176471	0.9742	7.78188571428571
Pleosporaceae	8.95452631578947	33.0127777777778	5.24129268292683	4.05280952380952	6.953	22.5219230769231	33.0501891891892	5.37022727272727	15.9923142857143	5.23467647058824	4.8191	8.32354285714286
Cladosporiaceae	2.47081052631579	9.67163888888889	7.3570487804878	3.93505714285714	11.9520512820513	20.4773076923077	9.7022972972973	4.33016590909091	11.9098571428571	15.1668235294118	10.1511	28.2734
Aspergillaceae	4.90739473684211	12.0197777777778	6.25860975609756	3.32928571428571	14.9606153846154	13.9018846153846	8.53421621621622	3.60536363636364	13.6325714285714	10.2529411764706	14.931	18.1865714285714
Chaetomiaceae	12.6680789473684	5.86439166666667	12.8501707317073	5.0847619047619	8.49946153846154	3.9665	5.25727027027027	7.00413636363636	14.5337714285714	16.1748529411765	11.2291	2.72381714285714
Debaryomycetaceae	6.09340263157895	0.400638888888889	8.70859756097561	0.933369047619048	4.79010512820513	1.11923076923077	20.7668378378378	4.69436590909091	12.6039114285714	6.9062	17.4153	7.60183714285714
Hypocreales_fam_Incertae_sedis	0.480184210526316	2.62502222222222	33.6898292682927	0.704833333333333	10.0059230769231	1.88759230769231	0.819637297297297	0.875806818181818	0.436246857142857	1.20797058823529	0.62678	1.69963714285714
Trichosphaeriaceae	1.33702105263158	1.94645277777778	1.80070731707317	7.22054761904762	10.5002564102564	1.54468461538462	3.96504864864865	7.02475	4.16208	7.28052941176471	0.55149	1.0342
Herpotrichiellaceae	14.1706842105263	5.26802777777778	0.172865853658537	2.66217619047619	1.97096153846154	2.55961538461538	5.36908108108108	0.664002272727273	3.79122857142857	2.78258235294118	0	6.07991428571429
Psathyrellaceae	0.351745263157895	1.52801388888889	0.494060975609756	0.359720476190476	1.07887692307692	5.415	0.491278378378378	0.335109545454545	0.939330857142857	1.75700588235294	14.6391	1.72525714285714
unidentified	1.27455263157895	1.125175	0.998578048780488	0.955264285714286	1.16808205128205	1.34805384615385	0.556848648648649	1.42391136363636	0.989068571428571	2.02335882352941	2.2457	1.04996
Didymellaceae	0.843631052631579	0.714011111111111	1.37992780487805	0.787030952380952	2.23999974358974	0.6114	0.359281081081081	1.22695227272727	0.636071428571429	1.16632882352941	0.426866	1.77819428571429
Low abundance	8.44221789473684	12.8043430555556	12.4862953658537	14.1619369047619	14.7038315384615	17.2490965384615	7.01728216216216	11.4344395454545	12.1319151428571	18.6271458823529	17.582448	7.64432828571429
