Apr	Aug	Dec	Feb	Jan	Jul	Jun	Mar	May	Nov	Oct	Sept
(Unassigned)	12.7103225806452	15.0482857142857	16.8789743589744	14.877975	24.3597222222222	16.5144	10.9668571428571	12.9301904761905	18.8153870967742	26.5553333333333	21.875	25.1497058823529
Fusarium	32.0108064516129	6.1628	1.58328205128205	50.41985	1.86144444444444	1.860988	0.286377142857143	45.848	2.19867741935484	0.9016	0.56	7.53344117647059
Alternaria	10.2545161290323	32.5322857142857	5.26384615384615	3.792375	7.10402777777778	22.5132	32.3787714285714	5.20652380952381	14.7736774193548	5.42013333333333	4.6074	7.96702941176471
Aspergillus	2.52590322580645	7.98171428571429	5.15569230769231	2.5857725	14.4585555555556	10.92572	8.15005714285714	2.36430476190476	12.5901935483871	8.04653333333333	12.808	13.2461764705882
Meyerozyma	0.273493548387097	0.407971428571429	9.14047435897436	0.97241	3.78242777777778	1.15888	21.9228571428571	4.90502619047619	11.8889322580645	7.80799333333333	17.4151	7.69983235294118
Chaetomium	6.18354838709677	2.99119428571429	9.78135897435897	2.4814	4.99766666666667	2.47676	3.20218285714286	3.722	9.23662580645161	10.9613	7.1938	1.49472941176471
Cladosporium	0.794935483870968	5.58051428571429	2.19617948717949	1.55858	5.67247222222222	12.86232	4.32288571428571	1.75027380952381	4.60006451612903	7.58713333333333	3.11874	13.1014705882353
Sarocladium	0.137646129032258	0.0887162857142857	32.0541282051282	0.32836425	8.27366666666667	0.0777144	0.109236285714286	0.131929761904762	0.164011290322581	0.456961	0.032505	0.189675588235294
Rhinocladiella	15.1952580645161	5.40302857142857	0.170202564102564	2.6163975	1.61904166666667	2.59508	5.38457142857143	0.602669047619048	4.09948387096774	2.11712666666667	0	5.96423529411765
Nigrospora	1.30377419354839	1.54284	1.36864102564103	5.277175	8.69102777777778	0.957596	4.07948857142857	6.32528571428571	4.00027741935484	4.69136666666667	0.38958	0.755108823529412
unidentified	2.98122580645161	2.07288571428571	5.22735897435897	2.260475	3.81222222222222	3.84132	1.66663428571429	2.40576428571429	2.38099032258065	5.39836666666667	4.5761	2.56238823529412
Penicillium	2.60393548387097	4.15897142857143	1.27179487179487	0.7917775	1.47642222222222	3.19868	0.38354	0.718961904761905	1.92776451612903	1.41786666666667	1.9787	5.23126470588235
Low abundance	13.014214516129	16.0121242857143	9.90321358974359	12.02797975	13.8917369444444	21.003384	7.14008428571429	13.0811404761905	13.3178987096774	18.6299676666667	25.451245	9.08914852941176
