Apr	Aug	Dec	Feb	Jan	Jul	Jun	Mar	May	Nov	Oct	Sept
Hypocreales	35.4387096774194	10.2279142857143	35.1217948717949	55.1245	12.2475	4.74256	1.47481714285714	49.9192857142857	3.68612903225806	3.6838	2.1036	10.3457647058824
Pleosporales	13.402064516129	35.9274285714286	8.03025641025641	5.9729	10.9588333333333	24.92	34.0661142857143	8.79014285714286	18.7024193548387	9.641	8.303	11.0373529411765
Eurotiales	5.67412903225806	12.5037428571429	8.07033333333333	4.534425	17.6003333333333	14.45784	8.64491428571429	4.462	15.1774838709677	11.155	15.476	18.8192941176471
Sordariales	13.8004193548387	6.1	14.7176923076923	4.270575	8.45066666666667	4.27272	5.65634285714286	6.86666666666667	15.7621935483871	15.7414333333333	12.0346	2.55297941176471
Capnodiales	1.93316129032258	7.99702857142857	6.68023076923077	3.2972725	10.0979722222222	16.7508	7.34214285714286	3.18406666666667	8.36806451612903	13.5377666666667	8.2884	22.7027647058824
(Unassigned)	5.19103225806452	5.97542857142857	6.42717948717949	3.824525	9.64555555555556	7.10084	5.00102857142857	5.17409523809524	7.64138709677419	11.094	4.7859	10.36
Saccharomycetales	0.449770967741935	0.4566	9.24359743589743	0.9844125	3.83172222222222	1.1636	21.9508285714286	4.92190714285714	11.9354903225806	7.97214	17.5029	7.71202058823529
Trichosphaeriales	1.37587096774194	1.88532	1.529	5.7019	10.0972777777778	1.02558	4.15039714285714	7.03247619047619	4.21013548387097	5.82353333333333	0.51277	0.887076470588235
Chaetothyriales	15.3236129032258	5.44051428571429	0.324948717948718	2.6725225	1.80191666666667	2.63012	5.40245714285714	0.642640476190476	4.16951612903226	2.3479	0.057776	6.08391176470588
unidentified	1.3193935483871	1.87465714285714	3.84415384615385	2.4070225	4.80661111111111	4.48948	0.731902857142857	1.27048571428571	1.10735161290323	4.66203333333333	1.643	2.30338823529412
Agaricales	1.28667096774194	2.12583428571429	1.06507692307692	1.016465	1.99576666666667	5.97672	0.94392	1.25772380952381	1.90434193548387	3.65213333333333	20.47	2.01723235294118
Xylariales	1.29522580645161	0.634646571428571	1.04274358974359	1.1740525	1.87380555555556	0.811308	0.315285714285714	1.87240476190476	1.35239032258065	4.64323333333333	1.50922	0.404897058823529
Low abundance	3.50350225806452	8.84341428571429	3.89173461538462	9.02010925	6.59172972222222	11.66362	4.33683085714286	4.61325976190476	5.98133290322581	6.04722133333333	7.315922	4.77745058823529
